"","ArrDelay","Month","DayOfWeek","CRSDepTime","CRSArrTime","AirTime","Distance","TaxiIn","TaxiOut","DepDelay","Diverted","Carrier","Weather","NAS","Security","LateAircraft"
"286",18,2,1,1500,1605,40,236,4,19,20,0,0,0,0,0,1
"287",37,3,1,845,1421,209,1532,9,27,8,0,1,0,1,0,0
"288",0,8,1,610,1125,180,1363,3,9,3,0,0,0,0,0,0
"289",2,1,7,1830,2042,43,256,10,21,0,0,0,0,0,0,0
"290",2,1,1,1000,1149,86,533,7,22,-4,0,0,0,0,0,0
"291",-12,4,4,800,937,72,528,4,16,-7,0,0,0,0,0,0
"292",-2,8,2,829,822,28,134,3,18,2,0,0,0,0,0,0
"293",-7,3,6,955,1220,188,1192,6,10,-6,0,0,0,0,0,0
"294",36,7,1,1630,1729,88,575,6,21,40,0,1,0,0,0,1
"295",5,10,4,850,1106,212,1635,6,38,5,0,0,0,0,0,0
"296",-8,10,1,1250,1305,57,347,5,6,-1,0,0,0,0,0,0
"297",30,9,5,1355,1624,132,951,4,49,-6,0,0,0,1,0,0
"298",-8,1,4,1800,1923,64,336,3,7,1,0,0,0,0,0,0
"299",-5,6,4,825,945,54,337,5,18,-2,0,0,0,0,0,0
"300",-8,4,1,545,821,137,810,2,14,-5,0,0,0,0,0,0
"301",-9,3,7,1150,1300,52,304,2,8,-1,0,0,0,0,0,0
"302",206,12,6,825,945,65,328,13,22,186,0,0,0,1,0,0
"303",-14,8,7,1030,1200,68,340,2,11,-5,0,0,0,0,0,0
"304",16,12,4,1410,1650,337,2288,6,16,-3,0,0,0,1,0,0
"305",-5,8,4,1424,1524,39,201,4,14,-2,0,0,0,0,0,0
"306",77,8,1,1130,1135,63,284,6,6,67,0,0,1,1,0,0
"307",5,12,3,715,1433,226,1946,20,26,-9,0,0,0,0,0,0
"308",-11,12,2,1009,1100,28,109,2,13,-3,0,0,0,0,0,0
"309",-16,6,1,1430,1551,52,337,4,13,-4,0,0,0,0,0,0
"310",-4,2,3,1240,1615,125,1068,8,19,-1,0,0,0,0,0,0
"311",-4,10,4,1104,1354,126,998,10,18,12,0,0,0,0,0,0
"312",-5,5,5,1650,1900,105,822,5,7,8,0,0,0,0,0,0
"313",-22,11,2,1755,1910,48,268,6,8,-9,0,0,0,0,0,0
"314",16,9,7,1934,2119,85,508,14,10,12,0,0,0,1,0,1
"315",-13,8,3,1630,1800,59,408,12,9,-3,0,0,0,0,0,0
"316",-13,10,7,830,1027,84,595,17,10,-7,0,0,0,0,0,0
